,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID,Unnamed: 6
183,11/10/2566 BE 17:39:24, -90, -92, 48, WPA2-Enterprise, ac,eduroam ,58-97-1E-56-47-97,
184,11/10/2566 BE 17:39:11, -86, -95, 112, WPA2-Enterprise, ac,eduroam ,08-CC-68-B4-A1-1F,
185,11/10/2566 BE 17:38:58, -86, -95, 112, WPA2-Enterprise, ac,eduroam ,08-CC-68-B4-A1-1F,
186,11/10/2566 BE 17:38:46, -86, -95, 112, WPA2-Enterprise, ac,eduroam ,08-CC-68-B4-A1-1F,
187,11/10/2566 BE 17:32:15, -89, -95, 112, WPA2-Enterprise, ac,eduroam ,08-CC-68-B4-A1-1F,
188,11/10/2566 BE 17:31:59, -89, -95, 112, WPA2-Enterprise, ac,eduroam ,08-CC-68-B4-A1-1F,
189,11/10/2566 BE 17:31:45, -85, -96, 112, WPA2-Enterprise, ac,eduroam ,08-CC-68-B4-A1-1F,
190,11/10/2566 BE 17:32:15, -76, -92, 40, Open, ac,UNSW Guest ,08-CC-68-B4-82-8C,
191,11/10/2566 BE 17:31:59, -76, -92, 40, Open, ac,UNSW Guest ,08-CC-68-B4-82-8C,
192,11/10/2566 BE 17:31:45, -76, -92, 40, Open, ac,UNSW Guest ,08-CC-68-B4-82-8C,
193,11/10/2566 BE 17:31:29, -93, -97, 40, Open, ac,UNSW Guest ,08-CC-68-B4-82-8C,
194,11/10/2566 BE 17:17:48, -87, -88, 11, WPA2-Personal, g/n,[Hidden SSID] ,F0-9E-63-14-AD-24,
195,11/10/2566 BE 17:17:35, -87, -88, 11, WPA2-Personal, g/n,[Hidden SSID] ,F0-9E-63-14-AD-24,
196,11/10/2566 BE 17:18:55, -88, -96, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
197,11/10/2566 BE 17:18:42, -88, -96, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
198,11/10/2566 BE 17:18:29, -88, -96, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
